55, 55, 55, 56, 56, 57, 58, 60, 62, 61, 59, 60, 61, 60, 59, 60, 58, 59, 59, 59, 57, 57, 55, 55, 55, 56, 57, 57, 58, 58, 56, 56, 55, 53, 52, 50, 49, 49, 50
54, 56, 55, 57, 56, 58, 58, 59, 61, 61, 61, 62, 60, 59, 58, 58, 59, 58, 60, 59, 60, 60, 56, 55, 55, 55, 57, 57, 56, 58, 57, 57, 55, 53, 55, 50, 48, 49, 49
54, 56, 57, 56, 56, 57, 59, 57, 59, 62, 61, 60, 61, 59, 60, 57, 59, 58, 57, 57, 60, 61, 58, 56, 57, 57, 55, 58, 59, 59, 58, 58, 58, 54, 55, 54, 50, 47, 48
53, 56, 55, 57, 55, 56, 59, 60, 59, 62, 60, 60, 60, 60, 58, 59, 57, 59, 59, 59, 57, 61, 58, 56, 56, 56, 55, 54, 57, 60, 61, 59, 59, 56, 54, 55, 51, 50, 47
52, 53, 54, 55, 57, 56, 56, 58, 58, 58, 59, 60, 62, 60, 58, 59, 60, 60, 59, 61, 61, 60, 61, 58, 55, 57, 55, 54, 56, 59, 60, 59, 60, 58, 56, 56, 53, 52, 48
51, 53, 54, 55, 56, 58, 55, 57, 56, 58, 56, 58, 62, 61, 60, 61, 61, 61, 59, 58, 62, 59, 60, 60, 58, 58, 58, 54, 56, 58, 60, 58, 60, 60, 56, 55, 55, 52, 52
51, 52, 55, 56, 55, 56, 57, 56, 58, 56, 58, 59, 59, 59, 60, 62, 62, 61, 60, 60, 61, 60, 60, 59, 59, 57, 59, 55, 53, 58, 58, 58, 57, 60, 60, 56, 57, 53, 52
52, 54, 54, 57, 55, 55, 55, 58, 55, 55, 58, 57, 59, 61, 61, 62, 60, 63, 60, 61, 62, 63, 59, 57, 59, 58, 56, 56, 56, 57, 58, 57, 59, 58, 60, 60, 56, 55, 54
52, 54, 52, 56, 55, 56, 54, 58, 59, 55, 57, 59, 59, 60, 60, 63, 61, 63, 60, 59, 62, 61, 61, 58, 59, 57, 56, 57, 56, 57, 59, 56, 59, 58, 58, 60, 59, 59, 57
52, 54, 54, 52, 56, 57, 57, 58, 58, 57, 56, 58, 57, 60, 60, 60, 63, 61, 61, 59, 59, 60, 61, 58, 57, 59, 57, 56, 56, 55, 57, 57, 56, 60, 57, 56, 59, 60, 57
52, 51, 53, 53, 52, 54, 57, 56, 56, 57, 56, 56, 57, 58, 59, 61, 60, 60, 60, 61, 58, 61, 61, 60, 58, 60, 57, 56, 58, 57, 55, 54, 57, 57, 57, 56, 58, 58, 56
