11.17, 9.33, 10.09, 7.17, 8.25, 10.11, 12, 9.23, 6.76, 4.59, 5.87, 3.24, 1.25, 1.33, 0, 0, 0, 0, 0.46, 0, 0, 1.76, 0.92, 0, 0, 0, 2.56, 0.57, 0, 0, 0, 0, 0, 2.2, 1.13, 0, 0, 0, 0, 2.7, 3.64, 3.9, 6.23, 7.93, 6.87, 8.9, 8.21, 10.05, 9.69, 9.69, 10.89, 12, 11.37, 10.3, 12, 12, 12, 12, 10.95
9.27, 10.25, 8.9, 6.86, 6.36, 10.18, 12, 12, 11.49, 7.97, 5.42, 1.98, 4.49, 5.28, 4.72, 0.36, 3.08, 0, 0, 2.06, 3.08, 0, 0, 2.28, 0, 0, 1.03, 3.31, 2.21, 3.34, 0.95, 2.3, 1.04, 0.47, 1.65, 1.22, 0.58, 0.07, 0, 0, 1.65, 0.88, 2.54, 3, 7.03, 9.43, 8.84, 11.2, 8.06, 9.05, 9.69, 9.3, 10.83, 10.46, 12, 12, 12, 12, 11.41
7.39, 10.9, 10.86, 8.95, 8.22, 6.23, 9.04, 9.42, 12, 9.92, 10.16, 6.17, 2.97, 6.95, 4.51, 0.97, 1.21, 3.92, 0, 0.89, 4.04, 0.86, 0, 2.72, 3.75, 0, 0, 3.4, 1.42, 2.21, 0, 3.79, 2.85, 2.35, 0, 3.77, 1.46, 0, 0, 2.55, 0.11, 3.75, 2.03, 3.86, 6.2, 5.55, 9.6, 10.05, 8.12, 9.07, 10.34, 9.93, 12, 12, 10.78, 12, 10.81, 9.77, 9.56
5.03, 7.92, 6.9, 8.84, 7.25, 6.09, 7.74, 7.48, 9.06, 9, 12, 11.84, 9.58, 8.89, 6.14, 4.38, 2.22, 0.68, 0.58, 0, 4.47, 4.66, 0.21, 2.51, 0.42, 0, 0, 0, 1.87, 1.54, 0, 2.08, 3.59, 3.01, 0, 2.82, 0, 0.74, 0.01, 1.92, 0.01, 2.59, 5.22, 5.9, 6.32, 3.84, 5.13, 6.77, 5.7, 7.87, 11.31, 9.71, 8.87, 10.24, 12, 11.42, 11.92, 11.88, 10.08
2.5, 7.34, 4.46, 7.27, 9.25, 6.27, 6.83, 7.89, 5.54, 9.29, 12, 12, 9.47, 8.32, 6.12, 4.67, 4.32, 1.52, 0, 0.83, 0.88, 4.15, 5.86, 0, 0.55, 0, 0, 1.87, 1.35, 2.09, 0.9, 3.48, 3.27, 0.82, 0.1, 3.26, 2.2, 1.62, 0, 2.39, 1.55, 2.54, 1.74, 6.55, 6.43, 6.72, 4.82, 4.95, 5.62, 6.81, 9.51, 9.74, 7.72, 8.46, 10.58, 10.59, 11.4, 10.56, 11.18
0.21, 0.92, 1.26, 7.24, 9.06, 8.58, 7.48, 7.4, 8.94, 9.16, 12, 12, 12, 9.98, 8.92, 8.86, 4.4, 5.04, 0.82, 1.78, 2.59, 3.25, 1.89, 0, 2.44, 1.27, 0, 1.67, 2.87, 1.91, 1.54, 2.86, 4.49, 2.24, 0.26, 1.98, 4.55, 5.6, 1.87, 2.65, 0.9, 4.24, 0.8, 3.56, 2.71, 6, 5.62, 2.21, 3.74, 8.19, 7.81, 10.61, 6.58, 4.78, 10.08, 9.8, 12, 12, 11.61
3.14, 0.29, 0, 4.05, 7.5, 8.99, 8.42, 8.25, 8.93, 7.81, 8.74, 8.11, 11.28, 8.78, 8.23, 10.95, 7.42, 5.98, 6.76, 1.75, 3.72, 2.14, 5.28, 5.17, 1.27, 1.13, 1.77, 2.34, 2.29, 0, 1.44, 4.68, 4.05, 1.69, 0, 0, 2.76, 6.79, 3.65, 3.11, 5.1, 6.17, 5.08, 1.01, 4.56, 2.72, 2.29, 5.61, 3.63, 6.5, 9.01, 8.69, 6.83, 6.02, 4.3, 6.08, 6.39, 12, 8.92
3.64, 4.09, 0, 2.79, 2.71, 5.33, 9.06, 6.41, 9.54, 8.04, 9.25, 9.2, 8.27, 8.56, 7.34, 9.71, 12, 6.05, 3.56, 5.98, 1.45, 0.62, 0.86, 5.64, 5.47, 3.15, 0.17, 0, 0.18, 0, 0.78, 1.15, 1.43, 2.17, 0.92, 0, 0.03, 4.85, 3.48, 1.51, 1.5, 5.85, 6.65, 5.11, 4.97, 6.92, 6.94, 2.74, 6.96, 6.51, 5.72, 8.55, 9.06, 9.73, 7.18, 3.89, 2.53, 7.68, 8.82
3.26, 5.27, 0.39, 0, 3.84, 5.52, 8.63, 7.71, 9.95, 9.31, 8.87, 11.7, 7.07, 5.32, 6.37, 10.04, 10.16, 11.54, 6.42, 7.31, 5.37, 2.39, 3.85, 2.52, 4.78, 2.13, 3.01, 0, 2.79, 2.58, 1.24, 0, 1.79, 0, 0, 0.23, 2.51, 2.5, 4.77, 0.38, 2.41, 0.34, 5.7, 8.59, 5.1, 5.67, 4.54, 5.16, 5.62, 6.17, 3.55, 3.56, 8.92, 9.87, 9.22, 4.88, 4.78, 3.8, 3.86
3.16, 3.59, 2.12, 0.35, 2.61, 5.36, 4.75, 9.3, 8.02, 10.81, 7.02, 8.07, 9.07, 8.23, 7.34, 7.18, 11.01, 12, 10.38, 10.06, 7.68, 6.24, 1.96, 2.3, 3.12, 5.11, 3.72, 4.73, 0.03, 0.29, 1.85, 3.37, 0.3, 3.22, 0, 0, 1.94, 5.22, 6.5, 3.66, 2.73, 1.26, 0.54, 2.76, 4.3, 3.12, 2.3, 4.82, 4.24, 2.56, 5.16, 4.88, 8.52, 7.77, 6.27, 8.51, 4.86, 5, 4.91
