"", "", "Iron:905.11", "", "", "", "", "", "", "Iron:1106.41", "Zinc:1034.14", "Iron:995.85|Zinc:1003.72", "", "", "", "", "Iron:1106.29", "", "Iron:1048.56", "", "", "Iron:1013.27", "Iron:1101.33", "", "", "", "", "", "", "", "", "", "Iron:1080.66", "", "", "", "", "", "Copper:1183.39", "Iron:1013.64"
"", "", "", "", "Iron:1409.57", "", "Iron:2377.72", "", "", "", "", "", "", "Iron:1161.82", "", "", "Iron:1062.96", "", "Iron:1125.86", "", "Zinc:994.86", "", "", "Iron:2320.03", "", "", "Gems:1081.68", "Iron:1742.81", "", "", "Iron:1562.31", "", "", "", "", "Iron:1829.97", "", "", "", ""
"", "", "", "", "Iron:1089.75", "Iron:1432.72", "", "", "", "", "", "", "", "Iron:1036.21", "", "Iron:1906.05", "", "", "Iron:1014.14", "", "", "", "", "", "", "", "Iron:1476.57", "Iron:1122.48", "", "Iron:1032.07", "", "Iron:958.17", "", "", "", "", "Iron:1096.43", "", "Iron:1110.76", ""
"Iron:1101.41", "Iron:1014.43", "", "", "", "Iron:999.42", "Iron:1250.59", "", "Iron:1652.69", "", "", "", "", "", "", "Zinc:1122.86", "", "", "Iron:1281.49", "Iron:1285", "Iron:981.62", "Iron:1037.64", "", "", "", "", "", "", "", "", "", "", "", "Iron:1382.63", "", "", "", "", "", ""
"Iron:1202.44", "", "", "", "", "", "", "", "", "", "", "Gold:1804.65", "", "", "", "", "Iron:1260.96", "", "", "", "", "", "Iron:1097.27", "Iron:1545.21", "", "Iron:1354.72", "", "", "Iron:1358.91", "", "", "", "", "", "", "", "", "", "", ""
"Iron:1033.41", "", "Iron:1046.45", "Iron:1602.23", "", "Iron:1052.81", "", "Iron:1108.58", "Iron:1126.67", "", "", "", "", "Iron:1558.58", "", "", "Iron:807.56", "", "Iron:1127.27", "", "Iron:1065.39", "Iron:993.21|Copper:1052.9", "", "", "", "", "Iron:1349.16", "", "", "", "", "Iron:1100.11", "", "", "Iron:1052.79", "", "", "", "", ""
"", "", "Iron:1081.57", "", "", "", "", "", "Iron:957.26", "", "Zinc:1117.02", "", "Iron:906.35", "", "", "", "", "", "Iron:1049.26", "", "Iron:1089.79", "", "", "", "", "Iron:1008.34", "", "", "Iron:1100.1", "", "", "", "Iron:1084.05", "Iron:1173.04", "", "Iron:1127.37", "", "Iron:1088.96", "Iron:1171.81", ""
"Iron:1009.99", "Obsidian:1583.92", "", "Iron:930", "Iron:649.02", "", "Iron:247.31", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1272.3", "", "", "", "", "", "Iron:1256.22", "", "Iron:2074.73", "", "", "", "Iron:1292.93", "", "", "", "", "Iron:1626.09", ""
"", "", "", "Iron:849.71", "", "Iron:233.08", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1003.19", "", "Iron:954.43", "", "", "Iron:1472.28", "", "", "Iron:929.21", "Lead:1779.86", "Iron:1103.29", "Iron:1256.62", "", "", "", "Iron:1018.63", "", "Iron:1088.39", ""
"", "Iron:207.24", "", "", "Iron:55.74", "", "", "", "Iron:50.51", "", "", "", "", "", "", "Lead:60.95", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1772.85|Zinc:1891.69", "", "", "", "", "Iron:1181.71", "", ""
