"", "", "Iron:1.45", "", "", "", "", "", "", "Iron:9.04", "Zinc:15.11", "Iron:8.13|Zinc:8.2", "", "", "", "", "Iron:10.08", "", "Iron:4.45", "", "", "Iron:3.66", "Iron:8.02", "", "", "", "", "", "", "", "", "", "Iron:6.96", "", "", "", "", "", "Copper:14.49", "Iron:1.62"
"", "", "", "", "Iron:52.79", "", "Iron:252.79", "", "", "", "", "", "", "Iron:56.31", "", "", "Iron:15.53", "", "Iron:12.55", "", "Zinc:13.33", "", "", "Iron:189.81", "", "", "Gems:69.07", "Iron:76.45", "", "", "Iron:79.46", "", "", "", "", "Iron:116.86", "", "", "", ""
"", "", "", "", "Iron:12.15", "Iron:40.1", "", "", "", "", "", "", "", "Iron:16.45", "", "Iron:195.5", "", "", "Iron:73.53", "", "", "", "", "", "", "", "Iron:49.44", "Iron:15.04", "", "Iron:65.91", "", "Iron:81.51", "", "", "", "", "Iron:18.85", "", "Iron:10.12", ""
"Iron:8.02", "Iron:13.6", "", "", "", "Iron:9.1", "Iron:23.22", "", "Iron:92.31", "", "", "", "", "", "", "Zinc:27.64", "", "", "Iron:104.84", "Iron:31.63", "Iron:10.94", "Iron:17.84", "", "", "", "", "", "", "", "", "", "", "", "Iron:63.79", "", "", "", "", "", ""
"Iron:17.57", "", "", "", "", "", "", "", "", "", "", "Gold:178.48", "", "", "", "", "Iron:21.68", "", "", "", "", "", "Iron:76.31", "Iron:61.08", "", "Iron:42.8", "", "", "Iron:75.9", "", "", "", "", "", "", "", "", "", "", ""
"Iron:2.1", "", "Iron:11.67", "Iron:89.49", "", "Iron:12.89", "", "Iron:32.99", "Iron:35.59", "", "", "", "", "Iron:83.11", "", "", "Iron:14.99", "", "Iron:17.89", "", "Iron:7.75", "Iron:9.05|Copper:9.59", "", "", "", "", "Iron:45.18", "", "", "", "", "Iron:18.91", "", "", "Iron:25.92", "", "", "", "", ""
"", "", "Iron:10.93", "", "", "", "", "", "Iron:25.15", "", "Zinc:71.33", "", "Iron:12.15", "", "", "", "", "", "Iron:15.33", "", "Iron:12.15", "", "", "", "", "Iron:123.23", "", "", "Iron:32.74", "", "", "", "Iron:14.53", "Iron:34.91", "", "Iron:15.11", "", "Iron:28.61", "Iron:65.45", ""
"Iron:8.25", "Obsidian:73.07", "", "Iron:12.46", "Iron:74.04", "", "Iron:4.25", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:20.2", "", "", "", "", "", "Iron:21.59", "", "Iron:138.32", "", "", "", "Iron:93.74", "", "", "", "", "Iron:82.71", ""
"", "", "", "Iron:14.61", "", "Iron:8.73", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:39.65", "", "Iron:28.4", "", "", "Iron:71.35", "", "", "Iron:73.07", "Lead:99.41", "Iron:28.99", "Iron:37.4", "", "", "", "Iron:17.51", "", "Iron:21.76", ""
"", "Iron:2.54", "", "", "Iron:2.45", "", "", "", "Iron:3.97", "", "", "", "", "", "", "Lead:0.34", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:103.63|Zinc:110.58", "", "", "", "", "Iron:14.47", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:2.3|Zinc:2.02", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:84.33", "", "", "", "", "Iron:149.45", "", "", "Iron:51.78", "", "Iron:27.02"
"", "", "", "", "", "", "", "Iron:5.86|Zinc:5.19", "Iron:3", "Iron:9.41", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Zinc:19.07", "", "", "", "", ""
"", "", "", "", "", "Iron:3.81", "Iron:6.24", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1.33", "", "", "", "", "", "Iron:5.9", "Iron:4.9", "", "", "Iron:19.09", "", "Iron:26.53", "Iron:290.71", ""
