"", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:5.88", "", "", "", "", "", "", "", "", "Iron:3.15", "Iron:24.72", "", "", "Iron:109.12", "Iron:58.74", "Iron:18.16", "", "", "", "Lead:19.83", "Iron:2.58", "Iron:5.86", "", "Iron:18.52", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:16.63", "", "Iron:39.78", "", "", "", "", "Iron:176.84", "Iron:112.01", "Iron:123.74", "", "", "", "", "Iron:59.98", "", "", "", "", "", "", "", "", "", "", "Iron:25.83", "Iron:10.95"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:38.74", "", "", "Iron:69.41", "Iron:136.72", "Iron:290.49", "", "", "", "", "", "", "", "", "", "Iron:28.55", "", "", "", "", "", "Iron:21.37", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:55.89", "", "Iron:27.31", "", "Iron:81.91", "", "", "", "", "", "", "Iron:48.11", "", "", "", "Iron:35.63", "", "", "Iron:20.33", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:263.7", "", "", "", "", "", "", "", "", "", "Iron:70.68", "Iron:55.66", "", "Iron:14.24", "", "", "", "", "", "Lead:66.23", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "Iron:3.11", "Iron:2.08", "Iron:2.79", "", "", "Iron:17.41", "Iron:32.55", "", "Iron:37.41", "", "", "", "", "", "", "", "", "Iron:409.98", "Iron:46.69", "", "", "Iron:31.09", "", "", "", "Iron:212.76", "", "Iron:17.98"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:35.61", "", "", "", "Iron:100.82", "", "", "", "Iron:47.61", "", "", "Iron:59.82", "", "", "", "", "Iron:74.77", "", "", "Zinc:63.79", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Copper:105.76", "", "", "Iron:44.03", "", "Iron:36.95", "Iron:8.55", "", "", "Iron:125.73", "", "Iron:93.42|Zinc:218.7", "", "", "Iron:124.83", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:4", "", "", "", "", "", "", "", "Iron:9.81", "", "Iron:15.58", "", "", "", "", "", "", "Iron:11.66", "Iron:22.83", "", "Gold:240.49", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.86", "", "", "Iron:30.6", "", "", "", "Tin:27.96", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1.97", "", "", "", "", "", "", "", "", "", "", "", "Iron:30.83", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:441.12|Silver:417.64", "", "Iron:29.68", "", "", "", "", "Iron:29.76", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:34.82", "Obsidian:58.06", "", "", "Iron:43.88", "", "Iron:36.72|Coal:50.48", "", "", "", "Iron:13.84", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:88.07", "", "", "Obsidian:36.83", "", "Iron:51.33", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:88.13|Copper:102.37", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
