"", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:293.96", "", "", "", "", "", "", "", "", "Iron:1039.15", "Iron:1236.73", "", "", "Iron:1866.85", "Iron:1212.02", "Iron:1243.01", "", "", "", "Lead:1249.49", "Iron:1029.4", "Iron:1036.49", "", "Iron:1077.34", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:272.06", "", "Iron:746.03", "", "", "", "", "Iron:2000.31", "Iron:1175.1", "Iron:1706.74", "", "", "", "", "Iron:1300.2", "", "", "", "", "", "", "", "", "", "", "Iron:1122.24", "Iron:1083.6"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:455.45", "", "", "Iron:1242.6", "Iron:1488.96", "Iron:2637.13", "", "", "", "", "", "", "", "", "", "Iron:1329.51", "", "", "", "", "", "Iron:1068.88", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1153.28", "", "Iron:917.67", "", "Iron:926.58", "", "", "", "", "", "", "Iron:1436.66", "", "", "", "Iron:1197.19", "", "", "Iron:1280.65", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1231.19", "", "", "", "", "", "", "", "", "", "Iron:1060.27", "Iron:1408.11", "", "Iron:1162.95", "", "", "", "", "", "Lead:1589.51", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "Iron:41.13", "Iron:14.39", "Iron:27.15", "", "", "Iron:311.67", "Iron:781.29", "", "Iron:1117.34", "", "", "", "", "", "", "", "", "Iron:2753.46", "Iron:1181.16", "", "", "Iron:1350.81", "", "", "", "Iron:1384.26", "", "Iron:1230.56"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:854.73", "", "", "", "Iron:408.33", "", "", "", "Iron:892.79", "", "", "Iron:1363.64", "", "", "", "", "Iron:1279.21", "", "", "Zinc:1382.68", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Copper:539.03", "", "", "Iron:348.35", "", "Iron:373.56", "Iron:139.93", "", "", "Iron:1664.59", "", "Iron:1017.41|Zinc:2381.75", "", "", "Iron:923.96", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:41.94", "", "", "", "", "", "", "", "Iron:175.66", "", "Iron:1066.17", "", "", "", "", "", "", "Iron:1153.84", "Iron:1229.81", "", "Gold:1839.88", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:10.88", "", "", "Iron:1164.7", "", "", "", "Tin:1214.79", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:32.21", "", "", "", "", "", "", "", "", "", "", "", "Iron:1339.29", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:2534.92|Silver:2399.95", "", "Iron:1382.08", "", "", "", "", "Iron:1385.87", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:500.6", "Obsidian:993.27", "", "", "Iron:1388.85", "", "Iron:980.43|Coal:1347.78", "", "", "", "Iron:1032.88", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:506.12", "", "", "Obsidian:1039.14", "", "Iron:1231.9", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1215.56|Copper:1411.91", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:898.74", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "Iron:106.49", "Iron:189.68", "Iron:233", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "Iron:43.72", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:245.05"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "Iron:451.07", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "Iron:319.93", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "Iron:32.63", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
